INFO:root:Loading data
INFO:root:Building model
INFO:root:Training
INFO:root:Setting stepsize of 4868
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.0.pt
INFO:root:train 1 100 0.3701841554045677
INFO:root:train 1 200 0.36163585871458054
INFO:root:train 1 300 0.348507263759772
INFO:root:train 1 400 0.3364127415418625
INFO:root:valid 1 400 0.293916255235672
INFO:root:train 1 500 0.3253170562684536
INFO:root:train 1 600 0.3150394705931346
INFO:root:train 1 700 0.3036105023963111
INFO:root:train 1 800 0.29356307385489344
INFO:root:valid 1 800 0.21791017055511475
INFO:root:train 1 900 0.2841500121851762
INFO:root:train 1 1000 0.2756153678074479
INFO:root:train 1 1100 0.26721297312189235
INFO:root:train 1 1200 0.25925583007435005
INFO:root:valid 1 1200 0.18819817900657654
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.1.pt
INFO:root:train 2 100 0.15981127448379995
INFO:root:train 2 200 0.15814624071121217
INFO:root:train 2 300 0.15363495727380116
INFO:root:train 2 400 0.15126420190557838
INFO:root:valid 2 400 0.17027339339256287
INFO:root:train 2 500 0.14836569198966026
INFO:root:train 2 600 0.146242699722449
INFO:root:train 2 700 0.1452294485270977
INFO:root:train 2 800 0.1433818663470447
INFO:root:valid 2 800 0.13985413312911987
INFO:root:train 2 900 0.14118825574715932
INFO:root:train 2 1000 0.13964310298860072
INFO:root:train 2 1100 0.137813667119904
INFO:root:train 2 1200 0.13589310604458055
INFO:root:valid 2 1200 0.12254216521978378
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.2.pt
INFO:root:train 3 100 0.10137920148670673
INFO:root:train 3 200 0.09640555191785097
INFO:root:train 3 300 0.09431171531478565
INFO:root:train 3 400 0.09334883913397789
INFO:root:valid 3 400 0.10989673435688019
INFO:root:train 3 500 0.0926401692032814
INFO:root:train 3 600 0.09223393326004346
INFO:root:train 3 700 0.09152871924851622
INFO:root:train 3 800 0.09065975522156805
INFO:root:valid 3 800 0.09816718846559525
INFO:root:train 3 900 0.08946890449772278
INFO:root:train 3 1000 0.0885358256623149
INFO:root:train 3 1100 0.0875197155570442
INFO:root:train 3 1200 0.08663353763210277
INFO:root:valid 3 1200 0.09001952409744263
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.3.pt
INFO:root:train 4 100 0.05415014633908868
INFO:root:train 4 200 0.05314560421742499
INFO:root:train 4 300 0.05224936926116546
INFO:root:train 4 400 0.051002645753324034
INFO:root:valid 4 400 0.08229228109121323
INFO:root:train 4 500 0.05021158564090729
INFO:root:train 4 600 0.04973348264892896
INFO:root:train 4 700 0.04885475787201098
INFO:root:train 4 800 0.048956611561588946
INFO:root:valid 4 800 0.07980702817440033
INFO:root:train 4 900 0.04851273268875148
INFO:root:train 4 1000 0.048033223563805225
INFO:root:train 4 1100 0.047733290231024676
INFO:root:train 4 1200 0.04753803334664553
INFO:root:valid 4 1200 0.07836342602968216
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.4.pt
INFO:root:train 5 100 0.03308892576023936
INFO:root:train 5 200 0.03530113136395812
INFO:root:train 5 300 0.036199917967120805
INFO:root:train 5 400 0.03681979415938258
INFO:root:valid 5 400 0.07786164432764053
INFO:root:train 5 500 0.036652513597160576
INFO:root:train 5 600 0.036716086923455196
INFO:root:train 5 700 0.037005928392921175
INFO:root:train 5 800 0.03729918205644935
INFO:root:valid 5 800 0.07786340266466141
INFO:root:train 5 900 0.03746409005795916
INFO:root:train 5 1000 0.03797583522833884
INFO:root:train 5 1100 0.03848024490712718
INFO:root:train 5 1200 0.03923066028859466
INFO:root:valid 5 1200 0.08369826525449753
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads/models/net.123.5.pt
INFO:root:train 6 100 0.04342728385701775
INFO:root:train 6 200 0.04344586318358779
INFO:root:train 6 300 0.04375667572021484
INFO:root:train 6 400 0.045124709326773885
INFO:root:valid 6 400 0.08561044186353683
INFO:root:train 6 500 0.04538933897018432
INFO:root:train 6 600 0.04599679827379684
INFO:root:train 6 700 0.04767232121899724
INFO:root:train 6 800 0.048687549224123355
INFO:root:valid 6 800 0.08554983139038086
INFO:root:train 6 900 0.0493427937436435
INFO:root:train 6 1000 0.050189288519322875
INFO:root:train 6 1100 0.05061739457263188
