INFO:root:Loading data
INFO:root:Building model
INFO:root:Training
INFO:root:Setting stepsize of 4868
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.0.pt
INFO:root:train 1 100 0.36233220249414444
INFO:root:train 1 200 0.345166001021862
INFO:root:train 1 300 0.32005253866314887
INFO:root:train 1 400 0.29729682974517346
INFO:root:valid 1 400 0.21395720541477203
INFO:root:train 1 500 0.2759549436122179
INFO:root:train 1 600 0.25895868585755427
INFO:root:train 1 700 0.24316252543457917
INFO:root:train 1 800 0.229811141025275
INFO:root:valid 1 800 0.13317877054214478
INFO:root:train 1 900 0.21769011050462722
INFO:root:train 1 1000 0.2067933655232191
INFO:root:train 1 1100 0.19682971746406772
INFO:root:train 1 1200 0.18739409256416062
INFO:root:valid 1 1200 0.09235601127147675
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.1.pt
INFO:root:train 2 100 0.06784466072916985
INFO:root:train 2 200 0.06794795468449592
INFO:root:train 2 300 0.06520878913501899
INFO:root:train 2 400 0.06191926799714565
INFO:root:valid 2 400 0.05694037675857544
INFO:root:train 2 500 0.059102225683629515
INFO:root:train 2 600 0.05678996125857035
INFO:root:train 2 700 0.054314945183162176
INFO:root:train 2 800 0.0520456207706593
INFO:root:valid 2 800 0.04091466963291168
INFO:root:train 2 900 0.04989704368222091
INFO:root:train 2 1000 0.04821156687662005
INFO:root:train 2 1100 0.04651879669421098
INFO:root:train 2 1200 0.04495101408567279
INFO:root:valid 2 1200 0.02789728157222271
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.2.pt
INFO:root:train 3 100 0.0174760945700109
INFO:root:train 3 200 0.017166906017810107
INFO:root:train 3 300 0.016586548537015914
INFO:root:train 3 400 0.016377669582143425
INFO:root:valid 3 400 0.02098287083208561
INFO:root:train 3 500 0.015928395364433526
INFO:root:train 3 600 0.015399597290282448
INFO:root:train 3 700 0.015122526798929488
INFO:root:train 3 800 0.014886181452311575
INFO:root:valid 3 800 0.018746601417660713
INFO:root:train 3 900 0.014613483289463653
INFO:root:train 3 1000 0.01419337804801762
INFO:root:train 3 1100 0.013855601599947972
INFO:root:train 3 1200 0.013604971036935845
INFO:root:valid 3 1200 0.014746551401913166
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.3.pt
INFO:root:train 4 100 0.005689327083528042
INFO:root:train 4 200 0.005511207319796085
INFO:root:train 4 300 0.005473848041146994
INFO:root:train 4 400 0.005300473002716899
INFO:root:valid 4 400 0.012080240994691849
INFO:root:train 4 500 0.00520820465683937
INFO:root:train 4 600 0.0051479981187731024
INFO:root:train 4 700 0.005070908585829394
INFO:root:train 4 800 0.005033860453404486
INFO:root:valid 4 800 0.0112159363925457
INFO:root:train 4 900 0.005006584229154719
INFO:root:train 4 1000 0.004980738861486316
INFO:root:train 4 1100 0.0049791428429836575
INFO:root:train 4 1200 0.004960116332707306
INFO:root:valid 4 1200 0.010865350253880024
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.4.pt
INFO:root:train 5 100 0.0033887249603867533
INFO:root:train 5 200 0.003665852444246411
INFO:root:train 5 300 0.0038046657604475817
INFO:root:train 5 400 0.003839431572705507
INFO:root:valid 5 400 0.010748702101409435
INFO:root:train 5 500 0.0037704216465353968
INFO:root:train 5 600 0.00381668275843064
INFO:root:train 5 700 0.0038899541752679006
INFO:root:train 5 800 0.003999761221930385
INFO:root:valid 5 800 0.011571468785405159
INFO:root:train 5 900 0.004048387838734521
INFO:root:train 5 1000 0.004118306942284107
INFO:root:train 5 1100 0.004196607849814675
INFO:root:train 5 1200 0.004326570006087422
INFO:root:valid 5 1200 0.013111760839819908
INFO:root:Saving model in /roaming/u1270964/cds_ads/models/ads_synth/models/net.123.5.pt
